香港,#genre#
翡翠台,http://r.jdshipin.com/qClQf
明珠台,http://r.jdshipin.com/ZQ4kN
凤凰中文台,http://pi.0472.org/tv/cbn.php?id=xfjcHD
凤凰中文台,http://r.jdshipin.com/cCCzW
凤凰资讯台,http://r.jdshipin.com/0Rp07
凤凰资讯台,http://kkwk1122.top/fh.php?id=fhzx
凤凰中文台,http://kkwk1122.top/fh.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://113.117.74.20:8081/hls/25/index.m3u8
澳门莲花,https://cntv.sbs/tv/lhws.php
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
NOW新闻,http://ali.hlspull.yximgs.com/live/MTkfnHSvYBvkJ3huNPbcvLPZ08OxQXny.flv

体育台,#genre#
纬来体育,http://gwtv.cnv8.tv:8097/videolandsport/playlist.m3u8
纬来体育,https://pull-f5-spe.ixigua.com/yeslivetv.com/396e188d-2f7b-49fd-bd60-d5ed17692c22/index.m3u8?by=yeslivetv.com
纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
五星体育,http://101.228.125.169:9901/tsfile/live/faacts/1005_1.m3u8?key=txiptv&playlive=1&authid=0
爱尔达体育,https://pull-f5-spe.ixigua.com/yeslivetv.com/342685f8-b4e5-4b6e-82dd-376823f9bb36/index.m3u8?by=yeslivetv.com
临时1,https://m.a3zb6.com/pages/live/live?from=index&uid=26567
