港澳台,#genre#
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,https://ali.hlspull.yximgs.com:443/live/5a06465142974d61073c063fd6f025e1.flv
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
翡翠台,http://r.jdshipin.com/n90gt
TVBS新闻（梯子）,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻（梯子）,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻（梯子）,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻（梯子）,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新闻（梯子）,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻（梯子）,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲（梯子）,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲（梯子）,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲（梯子）,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲（梯子）,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亚洲（梯子）,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226328/index.m3u8
凤凰中文,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/2300.m3u8
凤凰中文,http://wspull.qiandaoapp.com:80/live/rFXGavEK7o4gLHi7MdMXg3wN07m7pkLq.flv
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://wspull.qiandaoapp.com:80/live/pPylhyQgJ4q15IQAA5pfVBSPVHWMLpQi.flv
